#allele	genesymbol	genbank_cds_start	genbank_cds_stop	genbank_strand	curated_start	genbank_nucl_accession	genbank_prot_accession	refseq_nucl_accession	refseq_prot_accession	refseq_product
		24980	26419	0	0	GU565967.1	AAA88548.1	NG_047055.1	WP_001028144.1	bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia
		3555	4946	1	0	AF453998.2	AAL51021.2	NG_047218.1	WP_063839878.1	bifunctional aminoglycoside nucleotidyltransferase ANT(3'')-Ih/aminoglycoside N-acetyltransferase AAC(6')-Iid
		1435	2439	1	0	AF355189.1	AAL82588.1	NG_047210.1	WP_063838852.1	bifunctional aminoglycoside N-acetyltransferase AAC(3)-Ib/aminoglycoside N-acetyltransferase AAC(6')-Ib''
		715	2106	1	0	AY740681.1	AAU89126.1	NG_047214.1	WP_063839875.1	bifunctional aminoglycoside nucleotidyltransferase ANT(3'')-Ij/aminoglycoside N-acetyltransferase AAC(6')-Ib
		35395	37224	0	0	EU408352.1	ACH58991.1	NG_047216.1	WP_063839877.1	bifunctional class C beta-lactamase/class D beta-lactamase fusion protein LRA-13
		1	1455	1	0	KF652095.1	AGV79342.1	NG_062220.1	WP_057097547.1	bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie2/aminoglycoside O-phosphotransferase APH(2'')-If2
		50229	51680	1	0	MF547665.1	AUV57982.1	NG_062248.1	WP_122630840.1	bifunctional AAC(6')-Ie family aminoglycoside N-acetyltransferase/APH(2'') family aminoglycoside O-phosphotransferase
		44169	45644	1	0	AP009486.1	BAH18719.1	NG_047217.1	WP_012655884.1	bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia
		90	1349	1	0	AB625455.1	BAK79091.1	NG_052052.1	WP_071593228.1	bifunctional type B-3 chloramphenicol O-acetyltransferase CatB8/aminoglycoside N-acetyltransferase AAC(6')-Ib
		489	1994	1	0	X56815.2	CAA40157.2	NG_052372.1	WP_071846307.1	bifunctional putative esterase EstX/streptothricin N-acetyltransferase Sat1
		1585	3024	1	0	AJ536195.1	CAD60196.1	NG_047212.1	WP_032490744.1	bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia
		1927	2913	1	0	AJ584652.2	CAE48335.2	NG_047213.1	WP_063838853.1	bifunctional aminoglycoside N-acetyltransferase AAC(6')-30/aminoglycoside N-acetyltransferase AAC(6')-Ib'
		461	1834	0	0	FKGY01000068.1	SAH70860.1	NG_051910.1	WP_070342373.1	bifunctional aminoglycoside nucleotidyltransferase ANT(3'')-Ia/aminoglycoside N-acetyltransferase AAC(6')-IIa
	aac(2')-IIa	12439	13221	1	0	AB669090.1	BAM16262.1	NG_047225.1	WP_063839881.1	kasugamycin N-acetyltransferase AAC(2')-IIa
	aac(2')-IIb	1	723	1	0	KX531051.1	APB03221.1	NG_055672.1	WP_071224044.1	kasugamycin N-acetyltransferase AAC(2')-IIb
	aac(2')-Ia	264	800	1	0	L06156.2	AAA03550.1	NG_047226.1	WP_004918308.1	aminoglycoside N-acetyltransferase AAC(2')-Ia
	aac(2')-Ib	265	852	1	0	U41471.1	AAC44793.1	NG_047227.1	WP_003881640.1	aminoglycoside N-acetyltransferase AAC(2')-Ib
	aac(2')-Ic	373	918	1	0	U72714.1	AAB17563.1	NG_047229.1	WP_003899880.1	aminoglycoside N-acetyltransferase AAC(2')-Ic
	aac(2')-Id	386	1018	1	0	U72743.1	AAB41701.1	NG_047230.1	WP_011726942.1	aminoglycoside N-acetyltransferase AAC(2')-Id
	aac(2')-Ie	3039059	3039607	1	0	FM211192.1	CAR72650.1	NG_050581.1	WP_010908954.1	aminoglycoside N-acetyltransferase AAC(2')-Ie
	aac(3)-I	292	756	1		S68049.1		NG_047232.1	WP_022542381.1	AAC(3)-I family aminoglycoside 3-N-acetyltransferase
	aac(3)-I	900	1364	1	0	AF207065.1	AAF68257.1	NG_047234.1	WP_002089484.1	AAC(3)-I family aminoglycoside 3-N-acetyltransferase
	aac(3)-I	2035	2499	1	0	AF318077.1	AAK12088.1	NG_047235.1	WP_063840256.1	AAC(3)-I family aminoglycoside 3-N-acetyltransferase
	aac(3)-I	113	577	1	0	AY139604.1	AAN41440.1	NG_047236.1	WP_063840257.1	AAC(3)-I family aminoglycoside 3-N-acetyltransferase
	aac(3)-I	540	1004	1	0	EF207718.1	ABN10340.1	NG_052479.1	WP_071846359.1	AAC(3)-I family aminoglycoside 3-N-acetyltransferase
	aac(3)-I	132	596	1	0	HM036080.1	ADH03009.1	NG_047239.1	WP_063840259.1	AAC(3)-I family aminoglycoside 3-N-acetyltransferase
	aac(3)-I	930	1394	1	0	AJ009820.2	CAA08847.1	NG_047233.1	WP_032491356.1	AAC(3)-I family aminoglycoside 3-N-acetyltransferase
	aac(3)-I	5293	5757	0	0	AJ877225.1	CAI46944.1	NG_047237.1	WP_011270148.1	AAC(3)-I family aminoglycoside 3-N-acetyltransferase
	aac(3)-I	1022	1486	1	0	AM087409.1	CAJ32498.1	NG_047238.1	WP_063840258.1	AAC(3)-I family aminoglycoside 3-N-acetyltransferase
	aac(3)-I	2176	2652	1	0	AM749810.1	CAO78542.1	NG_052489.1	WP_003155734.1	AAC(3)-I family aminoglycoside 3-N-acetyltransferase
	aac(3)-I	4029	4526	0	0	FN640465.1	CBI71176.1	NG_047240.1	WP_063840260.1	AAC(3)-I family aminoglycoside 3-N-acetyltransferase
aac(3)-Ia	aac(3)-I	5056	5520	1	0	U12338.3	AAG15269.1	NG_056001.1	WP_032492247.1	aminoglycoside N-acetyltransferase AAC(3)-Ia
aac(3)-Ib	aac(3)-I	1774	2238	1	0	GU390401.1	ADU86600.1	NG_047257.1	WP_010792467.1	aminoglycoside N-acetyltransferase AAC(3)-Ib
aac(3)-Ic	aac(3)-I	1295	1765	1	0	AJ511268.1	CAD53575.1	NG_048568.1	WP_034006142.1	aminoglycoside N-acetyltransferase AAC(3)-Ic
aac(3)-Id	aac(3)-I	104	580	1	0	AB114632.1	BAD00738.1	NG_048569.1	WP_038404949.1	aminoglycoside N-acetyltransferase AAC(3)-Id
aac(3)-If	aac(3)-I	61	525	1	0	AY884051.1	AAX16011.1	NG_048570.1	WP_063856942.1	aminoglycoside N-acetyltransferase AAC(3)-If
